vision,https://lmarena.ai/zh/leaderboard/vision/overall,"View rankings across multimodal, generative AI models capable of understanding and processing visual inputs",1213,,,,1223,,,,1180,,,,1209,,,,1249,,,,1284,,,
饿了么,type21,打开饿了么，在推荐首页点击甜品饮品，在精选中上滑找到 霸王茶姬（中商世界里店），点击左侧 轻因专区栏 ，点击轻因·伯牙绝弦，将其加入购物车，依次选择大杯， 少冰，标准糖,0,85.7305,6,14.28841667,100,535.2956,8,66.91195,0,412.1526,6,68.6921,100,538.1201,8,67.2650125,97.5,485.7031,12,40.47525833,0,146.4234,6,24.4039
同城,type21,打开同城旅行，点击旅游，点击跟团游，出发日期点击后选择2025年12月18日，游玩天数点击后选择3天，目的地点击后选择成都，,10,150.7448,7,21.53497143,50,586.7808,11,53.34370909,0,888.5646,10,88.85646,20,227.6873,5,45.53746,50,438.507,11,39.86427273,50,402.9934,11,36.63576364
,,,35.55555833,75.58009167,4.916666667,17.03279008,71.38889167,299.649375,5.5,55.49616187,4.166666667,666.6890833,5.416666667,142.2124347,62.222225,221.7005667,4.833333333,46.68084106,55.347225,174.2488917,5.583333333,30.12462898,56.38889167,163.588425,5.083333333,33.31355624
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
场景2 噪声干扰,,,,,,,,,,,,,,,,,,,,,,,,,,
,,指令干扰,,,,,,,,,,,,,,,,,,,,,,,,
APP,TaskType,指令,,,,,,,,,,,,,,,,,,,,,,,,
高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,100,44.2279,2,,100,105.1356,2,,47.5,2087.98,9,,100,154.6268,2,,100,76.9923,2,,100,47.6964,2,
京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,0,61.9136,6,,100,219.7358,5,,0,775.5568,6,,100,283.7719,5,,0,173.657,6,,100,134.7416,5,
美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,0,66.5193,6,,100,350.0129,4,,0,1164.0191,6,,100,455.5694,4,,100,371.1759,4,,100,249.4575,4,
淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,0,76.5913,6,,0,275.3819,6,,0,482.9676,6,,0,384.1628,6,,0,192.5079,6,,0,113.2793,6,
网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100,31.4594,2,,100,97.5501,2,,0,726.9467,6,,100,155.9395,2,,100,643.2779,2,,100,74.8432,2,
微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,16.6667,78.6103,7,,16.6667,265.2726,7,,0,965.0186,6,,16.6667,480.3006,7,,16.6667,270.837,7,,16.6667,263.7544,7,
小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100,62.3578,3,,100,240.8891,3,,0,518.1117,6,,100,306.8927,3,,100,95.8214,3,,100,185.8451,3,
知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,100,69.2162,2,,100,152.8628,2,,50,1102.3992,2,,100,341.2335,2,,100,100.2306,2,,100,173.7195,2,
bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,0,87.8195,6,,0,203.1277,6,,0,519.2017,5,,0,322.8583,6,,0,274.981,6,,0,340.9976,6,
携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,0,91.7705,6,,86.25,733.3654,14,,0,778.5006,6,,86.25,915.6245,14,,10,346.9855,11,,10,154.2423,7,
饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,0,85.7305,6,,100,586.7876,8,,0,412.1526,6,,100,711.0618,8,,100,617.3464,9,,100,560.6094,8,
同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,10,150.7448,7,,50,643.6393,11,,0,888.5646,10,,20,1164.1979,8,,50,569.9505,11,,50,503.6668,11,
,,,35.55555833,75.58009167,4.916666667,,71.07639167,322.8134,5.833333333,,8.125,868.4516,6.166666667,,68.57639167,473.019975,5.583333333,,56.38889167,311.14695,5.75,,64.722225,233.5710917,5.25,
场景三,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APP干扰,,,,,,,,,,,,,,,,,,,,,,,,
淘宝,type9,打开淘宝，将我购物车的第一件商品下单,0,215.4113,14,,0,214.354,6,,10,888.5646,10,,99.4444,437.6112,7,,0,163.6631,6,,0,163.6631,6,
微博,type8,打开微博，搜索罗永浩,100,154.9568,5,,58.3333,416.9723,9,,0,410.7361,6,,100,566.1077,5,,100,216.6215,5,,100,216.6215,5,
微博,type9,查看微博第一条热搜内容,75,123.1912,3,,100,248.4408,4,,50,1102.3992,2,,100,460.7085,5,,100,194.8284,4,,100,194.8284,4,
微博,type10,打开微博，搜索 老师好我叫何同学 ，给他发私信“视频真好”,11.1111,241.6368,10,,22.2222,410.1261,8,,0,519.2017,5,,51.5556,814.4718,14,,11.1111,220.5126,7,,51.1,220.5126,7,
美团,type8,打开美团，在看病买药中，购买治疗感冒发烧的999感冒灵颗粒,20,71.6631,5,,20,325.0194,7,,0,778.5006,6,,20,491.8664,8,,59.2857,310.2527,9,,59.2857,310.2527,9,
知乎,type8,打开知乎，在直答中提问 “有哪些好的双边策略”,20,189.8442,7,,80,316.7128,4,,0,412.1526,6,,80,241.1607,4,,40,244.6316,8,,40,244.6316,8,
,,,37.68518333,166.1172333,7.333333333,,46.75925,321.9375667,6.333333333,,10,685.2591333,5.833333333,,75.16666667,,,,51.7328,225.0849833,6.5,,58.39761667,225.0849833,6.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
场景3 开放探索,,,,,,,,,,,,,,,,,,,,,,,,,,
高德,type31,打开高德地图，查找世界城广场，查看前往该地的路线图，最好是公共交通，地铁优先,100,103.7546,6,,100,140.5312,3,,33.3333,593.5588,7,,66.6667,236.9676,3,,100,123.746,4,,100,289.9847,3,
京东,type3,帮我将影石Insta360 Go3S这款拇指相机 加入购物车,100,168.4444,6,,0,215.0531,6,,0,805.7391,6,,73.75,504.9076,9,,99.375,238.4442,8,,40,690.4615,2,
京东,type31,打开京东，查看我的浏览记录，进入11月9日我浏览的第一家店铺,20,39.8764,1,,100,237.9429,5,,0,206.5826,6,,38.8889,298.7067,8,,38.8889,111.1923,8,,60,553.8836,3,
淘宝,type5,打开淘宝，帮我购买 一个 内存128G 标配的大疆Osmo Nano拇指相机,0,78.2193,6,,100,365.6928,6,,0,686.0521,6,,0,301.3818,6,,0,77.3024,6,,50,607.6738,3,
美团,type31,打开美团，在浏览记录中查看我11月27日浏览的商品，进入该商品后帮我再来一单,99.4444,133.1137,7,,100,226.7668,5,,0,893.1213,9,,99.4444,372.2656,7,,100,130.7517,5,,100,230.9443,5,
饿了么,type31,打开饿了么，帮我点一份麦当劳，我想要一份安格斯厚牛堡，五块麦乐鸡，一份中杯无糖可乐,0,108.5113,6,,50,566.9194,12,,0,360.488,6,,50,670.0473,12,,20,189.5141,8,,40,725.7411,4,
,,,53.24073333,,,,75,,,,10.98,,,,54.79166667,,,,59.71065,,,,65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,292.1510333,,,,,,,,,,,,,,,,,,
,,,,,,,,292.1510333,,,,,,,,,,,,,,,,,,
,,,,,,,,292.1510333,,,,,,,,,,,,,,,,,,
,,,,,,,,292.1510333,,,,,,,,,,,,,,,,,,
,,,,,,,,292.1510333,,,,,,,,,,,,,,,,,,
,,,,,,,,307.3130167,,,,,,,,,,,,,,,,,,
,,,,,,,,316.5390083,,,,,,,,,,,,,,,,,,
,,,,,,,,324.3986192,,,,,,,,,,,,,,,,,,
,,,,,,,,320.2692011,6.166666667,,,,,,,,,,,,,,,,,
,,,,,,,,329.6194412,6.166666667,,,,,,,,,,,,,,,,,
,,,,,,,,305.8894453,6.166666667,,,,,,,,,,,,,,,,,
,,,,,,,,305.8894453,6.166666667,,,,,,,,,,,,,,,,,
,,,,,,,,,6.166666667,,,,,,,,,,,,,,,,,
,,,,,,,,,6.483333333,,,,,,,,,,,,,,,,,
,,,,,,,,,6.531666667,,,,,,,,,,,,,,,,,
,,,,,,,,,6.684833333,,,,,,,,,,,,,,,,,
,,,,,,,,,6.753316667,,,,,,,,,,,,,,,,,
,,,,,,,,,6.928648333,,,,,,,,,,,,,,,,,
,,,,,,,,,6.421513167,,,,,,,,,,,,,,,,,
,,,,,,,,,6.421513167,,,,,,,,,,,,,,,,,
